fuel,factor,effect_column,level,effect_cent_l,provisional_effect_cent_l,raw_effect_cent_l,n_obs,n_stations,confidence,status,constraint_applied,shrinkage_stations,is_active,role
GAZOLE,isolation_bucket,isolation_effect_cent_l,VERY_ISOLATED,0.7081989814651163,0.7081989814651163,0.7449312937817717,13186,964,HIGH,ESTIMATED,NONE,50.0,True,ACTIVE
GAZOLE,accessibility_class,logistics_premium_cent_l,FERRY_ISLAND,0.0,0.0,-27.812726173473607,1,1,INSUFFICIENT,PROVISIONAL,INSUFFICIENT_ZEROED,10.0,False,DIAGNOSTIC_ONLY
GAZOLE,accessibility_class,logistics_premium_cent_l,MAINLAND,0.0,0.0,0.0,178930,9916,HIGH,ESTIMATED,NONE,10.0,False,DIAGNOSTIC_ONLY
GAZOLE,accessibility_class,logistics_premium_cent_l,REMOTE_ISOLATED,2.86402891667263,2.86402891667263,4.654046989593024,107,16,LOW,ESTIMATED,NONE,10.0,False,DIAGNOSTIC_ONLY
GAZOLE,accessibility_class,logistics_premium_cent_l,ROAD_CONNECTED_ISLAND,0.0,0.0,-2.8834152871181367,222,12,LOW,ESTIMATED,NONE,10.0,False,DIAGNOSTIC_ONLY
SP95,code_region,region_effect_cent_l,11,0.4234135231750701,0.4234135231750701,0.5766853867678556,2876,221,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
SP95,code_region,region_effect_cent_l,24,-0.4802470382897465,-0.4802470382897465,-0.671390138106561,2942,201,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
SP95,code_region,region_effect_cent_l,27,0.8001869274196598,0.8001869274196598,0.9841379452172827,5216,348,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
SP95,code_region,region_effect_cent_l,28,-0.9217242291319387,-0.9217242291319387,-1.1898621866975936,4061,275,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
SP95,code_region,region_effect_cent_l,32,-0.9942299975552219,-0.9942299975552219,-1.2475370033017752,4038,314,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
SP95,code_region,region_effect_cent_l,44,-0.34562736648467246,-0.34562736648467246,-0.4299267241638609,4450,328,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
SP95,code_region,region_effect_cent_l,52,-1.1900810238007888,-1.1900810238007888,-1.5917961373200424,3418,237,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
SP95,code_region,region_effect_cent_l,53,-1.924831864148168,-1.924831864148168,-2.4807399837577475,4229,277,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
SP95,code_region,region_effect_cent_l,75,-0.8600108504190358,-0.8600108504190358,-0.9938646792780297,7869,514,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
SP95,code_region,region_effect_cent_l,76,0.7026384658149324,0.7026384658149324,0.8367937814836546,6173,419,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
SP95,code_region,region_effect_cent_l,84,1.1616023598803287,1.1616023598803287,1.3175221397300372,8796,596,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
SP95,code_region,region_effect_cent_l,93,0.4840232812332575,0.4840232812332575,0.6301435170772598,3300,265,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,01,-0.3835895865837993,-0.3835895865837993,-0.6196447167892143,924,65,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
