station_id,persistent_station_bias_raw_cent_l,persistent_bias_months,persistent_bias_observations,persistent_station_bias_cent_l,persistent_bias_confidence,persistence_status,fuel,ville,cp,code_departement,code_region
50430003,-2.235522814818153,19,19,-1.6989973392617963,HIGH,NORMAL,SP95,Lessay,50430,50,28
50450001,-1.129028095443656,20,20,-0.8684831503412739,HIGH,NORMAL,SP95,GAVRAY,50450,50,28
50460001,-0.8466286932426419,20,20,-0.6512528409558784,HIGH,NORMAL,SP95,QUERQUEVILLE,50460,50,28
50480002,-2.0327586511235194,20,20,-1.5636605008642457,HIGH,NORMAL,SP95,SAINTE-MèRE-ÉGLISE,50480,50,28
50500003,-0.7131280280096648,20,20,-0.548560021545896,HIGH,NORMAL,SP95,CARENTAN,50500,50,28
50500004,-1.62792683241171,20,20,-1.2522514095474693,HIGH,NORMAL,SP95,CARENTAN,50500,50,28
50500006,-0.99552743021069,20,20,-0.7657903309313,HIGH,NORMAL,SP95,Saint-Hilaire-Petitville,50500,50,28
50510001,-1.129028095443656,20,20,-0.8684831503412739,HIGH,NORMAL,SP95,CéRENCES,50510,50,28
50520001,0.3709719045563455,20,20,0.28536300350488114,HIGH,NORMAL,SP95,JUVIGNY-LES-VALLEES,50520,50,28
50560001,1.8709719045563467,3,3,0.6236573015187822,INSUFFICIENT,PROVISIONAL,SP95,BLAINVILLE-SUR-MER,50560,50,28
50560002,0.26351079319661996,20,20,0.20270061015124613,HIGH,NORMAL,SP95,Gouville-sur-Mer,50560,50,28
50570002,-0.18648920680336373,20,20,-0.14345323600258747,HIGH,NORMAL,SP95,MARIGNY,50570,50,28
50580002,1.8635107931966215,19,19,1.4162682028294324,HIGH,NORMAL,SP95,PORT-BAIL-SUR-MER,50580,50,28
50590003,-0.3642292910415832,9,9,-0.2185375746249499,LOW,PROVISIONAL,SP95,Montmartin-sur-Mer,50590,50,28
50590004,-1.029028095443667,5,5,-0.46774004338348507,INSUFFICIENT,PROVISIONAL,SP95,Montmartin-sur-Mer,50590,50,28
50600002,0.3177919803924559,20,20,0.24445536953265837,HIGH,NORMAL,SP95,PARIGNY,50600,50,28
50600003,12.772073167588303,17,17,9.440227993434833,MEDIUM,ELEVATED,SP95,SAINT-HILAIRE-DU-HARCOUëT,50600,50,28
50670001,-0.13648920680338034,5,5,-0.06204054854699106,INSUFFICIENT,PROVISIONAL,SP95,SAINT POIS,50670,50,28
50680001,-7.764229291041589,5,5,-3.5291951322916315,INSUFFICIENT,PROVISIONAL,SP95,SAINT CLAIR SUR L'ELLE,50680,50,28
50690001,14.235770708958386,17,17,10.522091393577938,MEDIUM,HIGH,SP95,Martinvast,50690,50,28
50700001,-0.6279268324117091,9,9,-0.3767560994470254,LOW,PROVISIONAL,SP95,VALOGNES,50700,50,28
50700004,-1.2779268324117041,20,20,-0.9830206403166954,HIGH,NORMAL,SP95,VALOGNES,50700,50,28
50710001,-1.46312802800966,19,19,-1.1119773012873415,HIGH,NORMAL,SP95,CREANCES,50710,50,28
50710003,-1.5131280280096546,18,18,-1.134846021007241,HIGH,NORMAL,SP95,Créances,50710,50,28
50750002,12.36351079319662,13,13,8.459244226924003,MEDIUM,ELEVATED,SP95,Saint Martin de bonfossé,50750,50,28
50760001,0.8635107931966205,19,19,0.6562682028294315,HIGH,NORMAL,SP95,Barfleur,50760,50,28
50800003,7.363510793196637,19,19,5.596268202829444,HIGH,ELEVATED,SP95,VILLEDIEU-LES-POêLES,50800,50,28
50880001,11.364477185181835,19,19,8.637002660738194,HIGH,ELEVATED,SP95,PONT HEBERT,50880,50,28
50890001,-0.17902809544364962,20,20,-0.13771391957203816,HIGH,NORMAL,SP95,CONDé-SUR-VIRE,50890,50,28
51000013,-5.668087302845448,1,1,-0.8097267575493498,INSUFFICIENT,PROVISIONAL,SP95,Châlons-en-Champagne,51000,51,44
5100004,1.2584706885532788,18,18,0.9438530164149591,HIGH,NORMAL,SP95,BRIANCON,05100,05,93
51067001,-1.503288498443394,20,20,-1.1563757680333802,HIGH,NORMAL,SP95,REIMS,51100,51,44
51100001,-0.6032884984433934,20,20,-0.4640680757256872,HIGH,NORMAL,SP95,REIMS,51100,51,44
51100002,0.2534823696262699,20,20,0.19498643817405378,HIGH,NORMAL,SP95,Reims,51100,51,44
51100029,0.696711501556619,16,16,0.5066992738593593,MEDIUM,NORMAL,SP95,Reims,51100,51,44
51110002,-0.5680873028454546,20,20,-0.436990232958042,HIGH,NORMAL,SP95,Warmeriville,51110,51,44
51110006,1.8319126971545587,20,20,1.4091636131958143,HIGH,NORMAL,SP95,Bazancourt,51110,51,44
51200001,-1.0680873028454219,20,20,-0.8216056175734014,HIGH,NORMAL,SP95,ÉPERNAY,51200,51,44
51200005,-1.4680873028454442,20,20,-1.1292979252657263,HIGH,NORMAL,SP95,ÉPERNAY,51200,51,44
5120002,0.6260712863522477,19,19,0.4758141776277083,HIGH,NORMAL,SP95,L'Argentière-la-Bessée,05120,05,93
5120003,1.3908700907542986,19,19,1.057061268973267,HIGH,NORMAL,SP95,Saint-Martin-de-Queyrières,05120,05,93
51260005,7.073350322762886,18,18,5.305012742072164,HIGH,ELEVATED,SP95,Anglure,51260,51,44
51300013,-29.54048208965397,1,1,-4.220068869950567,INSUFFICIENT,PROVISIONAL,SP95,Vitry-le-François,51300,51,44
51300014,-8.368087302845462,1,1,-1.1954410432636373,INSUFFICIENT,PROVISIONAL,SP95,Vitry-le-François,51300,51,44
51303001,-3.026649677237101,20,20,-2.3281920594131544,HIGH,NORMAL,SP95,Vitry-le-François,51300,51,44
51310001,-0.4266496772371096,20,20,-0.3281920594131612,HIGH,NORMAL,SP95,Esternay,51310,51,44
51370003,-6.004389761475345,1,1,-0.8577699659250493,INSUFFICIENT,PROVISIONAL,SP95,Les Mesneux,51370,51,44
51390003,-6.304389761475334,6,6,-3.152194880737667,LOW,PROVISIONAL,SP95,Gueux,51390,51,44
51400003,7.623350322762881,14,14,5.336345225934016,MEDIUM,ELEVATED,SP95,MOURMELON-LE-GRAND,51400,51,44
51400004,-3.240482089653983,1,1,-0.46292601280771184,INSUFFICIENT,PROVISIONAL,SP95,Mourmelon-le-Grand,51400,51,44
51420001,-1.1043897614753404,20,20,-0.849530585750262,HIGH,NORMAL,SP95,WITRY-LèS-REIMS,51420,51,44
51430002,1.6456102385246676,20,20,1.2658540296343597,HIGH,NORMAL,SP95,TINQUEUX,51430,51,44
51470001,6.873350322762886,16,16,4.9988002347366445,MEDIUM,NORMAL,SP95,SAINT-MEMMIE,51470,51,44
