factor,level,effect_cent_l,train_count,fuel,national_median_spread_cent_l
code_departement,35,-1.0446397195929171,43,SP95,4.9645261181501255
code_departement,36,0.06841549033282106,17,SP95,4.9645261181501255
code_departement,37,0.3959773641558623,28,SP95,4.9645261181501255
code_departement,38,-0.7485135836452403,36,SP95,4.9645261181501255
code_departement,39,0.5721069026490857,24,SP95,4.9645261181501255
code_departement,40,0.1441782177772229,37,SP95,4.9645261181501255
code_departement,41,-0.24782188618271644,17,SP95,4.9645261181501255
code_departement,42,1.2741176922009207,39,SP95,4.9645261181501255
code_departement,43,-0.7125595685537081,17,SP95,4.9645261181501255
code_departement,44,0.005544923461885395,36,SP95,4.9645261181501255
code_departement,45,-0.90507671865218,25,SP95,4.9645261181501255
code_departement,46,0.10603844280418041,6,SP95,4.9645261181501255
code_departement,47,-0.1255160809348079,28,SP95,4.9645261181501255
code_departement,48,0.06045883794548674,11,SP95,4.9645261181501255
code_departement,49,0.4383419197102161,23,SP95,4.9645261181501255
code_departement,50,-0.07745014548443033,39,SP95,4.9645261181501255
code_departement,51,-1.1888181331631105,18,SP95,4.9645261181501255
code_departement,52,0.5941091086146583,13,SP95,4.9645261181501255
code_departement,53,-0.6261994269243674,25,SP95,4.9645261181501255
code_departement,54,0.7499069517828378,19,SP95,4.9645261181501255
code_departement,55,-0.6466781070910557,10,SP95,4.9645261181501255
code_departement,56,-1.0971111440364671,41,SP95,4.9645261181501255
code_departement,57,1.0789828608840875,24,SP95,4.9645261181501255
code_departement,58,0.7328870656787289,26,SP95,4.9645261181501255
code_departement,59,-1.1206057240395542,28,SP95,4.9645261181501255
code_departement,60,0.5790609624439491,32,SP95,4.9645261181501255
code_departement,61,0.9081648274216951,17,SP95,4.9645261181501255
code_departement,62,-0.3820947325705654,53,SP95,4.9645261181501255
code_departement,63,-0.7611124761438,27,SP95,4.9645261181501255
code_departement,64,1.2085191496483327,38,SP95,4.9645261181501255
code_departement,65,0.31196428782147806,10,SP95,4.9645261181501255
code_departement,66,0.3766142435676021,17,SP95,4.9645261181501255
code_departement,67,1.753781066808917,24,SP95,4.9645261181501255
code_departement,68,0.8321335912327105,23,SP95,4.9645261181501255
code_departement,69,-0.02592543619359707,41,SP95,4.9645261181501255
code_departement,70,-0.817920559022831,15,SP95,4.9645261181501255
code_departement,71,-1.3370491363898607,59,SP95,4.9645261181501255
code_departement,72,1.613550292336027,31,SP95,4.9645261181501255
code_departement,73,-0.7180521110880702,27,SP95,4.9645261181501255
code_departement,74,0.9432994801356394,35,SP95,4.9645261181501255
code_departement,75,0.624067901308713,1,SP95,4.9645261181501255
code_departement,76,-0.48010408904631835,47,SP95,4.9645261181501255
code_departement,77,0.16274681352386058,36,SP95,4.9645261181501255
code_departement,78,-0.048186477357199275,20,SP95,4.9645261181501255
code_departement,79,-0.4428455388556156,20,SP95,4.9645261181501255
code_departement,80,-0.1837405200309392,17,SP95,4.9645261181501255
code_departement,81,-0.7987499969127192,18,SP95,4.9645261181501255
code_departement,82,-0.5625083673867355,15,SP95,4.9645261181501255
code_departement,83,-0.4559702512696934,40,SP95,4.9645261181501255
code_departement,84,0.5934461867851933,22,SP95,4.9645261181501255
code_departement,85,-0.5339835532382523,23,SP95,4.9645261181501255
code_departement,86,-0.6487692634612269,13,SP95,4.9645261181501255
code_departement,87,0.049640486754628566,23,SP95,4.9645261181501255
code_departement,88,1.1817251336010297,19,SP95,4.9645261181501255
code_departement,89,0.7720370157684044,29,SP95,4.9645261181501255
code_departement,90,0.56340912298335,7,SP95,4.9645261181501255
code_departement,91,0.10206230902111872,27,SP95,4.9645261181501255
code_departement,92,0.2909976233847803,2,SP95,4.9645261181501255
code_departement,93,0.06724573186966498,13,SP95,4.9645261181501255
code_departement,94,-1.2637679733459153,9,SP95,4.9645261181501255
code_departement,95,-0.5178885825661037,10,SP95,4.9645261181501255
road_type,AUTOROUTE,-0.057754620205234364,5,SP95,4.9645261181501255
road_type,ROUTE,0.21374437298569715,2383,SP95,4.9645261181501255
