fuel,factor,effect_column,level,effect_cent_l,raw_effect_cent_l,n_obs,n_stations,confidence,shrinkage_stations
GAZOLE,code_departement,department_effect_cent_l,71,0.3847078907693944,0.4879851768819834,2591,149,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,72,0.6604565640600193,0.9273077010539665,1728,99,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,73,0.4221710950729208,0.6057237451046255,1525,92,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,74,1.7853018468881325,2.326302406551203,2231,132,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,75,6.725481689208593,13.13070234559773,585,42,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,76,-0.3941504343663369,-0.48744047800333967,3220,169,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,77,-0.6472197768553787,-0.7902517717405453,3325,181,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,78,0.506203463048023,0.6448893433351526,2768,146,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,79,-1.276498501045286,-1.9856643349593341,1283,72,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,80,0.06776640428598699,0.09218673015481113,2048,111,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,81,-0.5414132533537583,-0.8340690659774115,1337,74,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,82,-0.06044300945798802,-0.09763870758598064,1230,65,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,83,-0.3417892147417119,-0.41609121794643195,3263,184,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,84,0.01756746475151813,0.024014240807121112,2000,109,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,85,-1.3968037868596068,-1.8547722415676746,2271,122,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,86,-0.0789372792671542,-0.12048321572355114,1370,76,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,87,-0.2008458408988528,-0.29536153073360705,1562,85,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,88,0.5232720713084569,0.7584505303234936,1549,89,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,89,1.6823480619241977,2.4300583116682857,1515,90,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,90,-0.12630768593152567,-0.378923057794577,344,20,LOW,40.0
GAZOLE,code_departement,department_effect_cent_l,91,-0.298427825448652,-0.39025177174054493,2478,130,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,92,4.809022936455679,7.480702345597724,1190,72,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,93,3.5503369508928335,5.201656462936012,1546,86,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,94,4.257352119743933,6.3597482282594555,1468,81,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,95,0.09116116671828937,0.12431068188857641,2047,110,HIGH,40.0
GAZOLE,road_type,road_effect_cent_l,AUTOROUTE,10.181116395464231,12.40406757351319,5376,458,HIGH,100.0
GAZOLE,road_type,road_effect_cent_l,ROUTE,-0.74283499048218,-0.7506732830904124,173884,9477,HIGH,100.0
GAZOLE,competition_bucket,competition_effect_cent_l,HIGH,-0.030266256166271748,-0.031030555564409923,56184,3168,HIGH,80.0
GAZOLE,competition_bucket,competition_effect_cent_l,LOW,0.1873031138664986,0.1934116540659767,35449,2453,HIGH,80.0
GAZOLE,competition_bucket,competition_effect_cent_l,MEDIUM,-0.10826512004708856,-0.11075325839921929,55807,3481,HIGH,80.0
GAZOLE,competition_bucket,competition_effect_cent_l,VERY_LOW,0.4830592760323513,0.5012023474326274,31820,2130,HIGH,80.0
GAZOLE,isolation_bucket,isolation_effect_cent_l,DENSE,0.2114638372044048,0.21397588088704206,72494,4209,HIGH,50.0
GAZOLE,isolation_bucket,isolation_effect_cent_l,ISOLATED,0.3630574015604981,0.37217944682583726,30002,1990,HIGH,50.0
GAZOLE,isolation_bucket,isolation_effect_cent_l,LOCAL,-0.24789273270110956,-0.25114506453922436,63578,3811,HIGH,50.0
GAZOLE,isolation_bucket,isolation_effect_cent_l,VERY_ISOLATED,0.6961611843852336,0.7322691296334303,13186,964,HIGH,50.0
GAZOLE,accessibility_class,logistics_premium_cent_l,FERRY_ISLAND,0.0,-27.41096707840829,1,1,INSUFFICIENT,10.0
GAZOLE,accessibility_class,logistics_premium_cent_l,MAINLAND,0.0,0.0,178930,9916,HIGH,10.0
GAZOLE,accessibility_class,logistics_premium_cent_l,REMOTE_ISOLATED,3.1086689546076567,5.051587051237442,107,16,LOW,10.0
GAZOLE,accessibility_class,logistics_premium_cent_l,ROAD_CONNECTED_ISLAND,0.0,-2.5040699734281393,222,12,LOW,10.0
SP95,code_region,region_effect_cent_l,11,0.45906511406127454,0.6252425309160345,2876,221,HIGH,80.0
SP95,code_region,region_effect_cent_l,24,-0.451961424793062,-0.6318465689893056,2942,201,HIGH,80.0
SP95,code_region,region_effect_cent_l,27,0.7678604386724137,0.9443800797465318,5216,348,HIGH,80.0
SP95,code_region,region_effect_cent_l,28,-0.9250855291062169,-1.1942013193916619,4061,275,HIGH,80.0
SP95,code_region,region_effect_cent_l,32,-1.015689954791925,-1.2744644655669375,4038,314,HIGH,80.0
SP95,code_region,region_effect_cent_l,44,-0.36634883945327007,-0.45570221492967733,4450,328,HIGH,80.0
SP95,code_region,region_effect_cent_l,52,-1.2177424663494483,-1.628794775665718,3418,237,HIGH,80.0
SP95,code_region,region_effect_cent_l,53,-1.8987129400599985,-2.4470776880917673,4229,277,HIGH,80.0
SP95,code_region,region_effect_cent_l,75,-0.8525319954527302,-0.9852218001924548,7869,514,HIGH,80.0
SP95,code_region,region_effect_cent_l,76,0.6183082148449623,0.7363622892783681,6173,419,HIGH,80.0
SP95,code_region,region_effect_cent_l,84,1.189698784578716,1.3493898966027047,8796,596,HIGH,80.0
SP95,code_region,region_effect_cent_l,93,0.47500184777101684,0.6183986320037766,3300,265,HIGH,80.0
SP95,code_departement,department_effect_cent_l,01,-0.4082273672794774,-0.6594442086822327,924,65,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,02,0.01668907787825415,0.03425652827641641,542,38,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,03,0.2816999844002765,0.563399968800553,556,40,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,04,1.2293510147168665,3.464534677838442,242,22,LOW,40.0
SP95,code_departement,department_effect_cent_l,05,0.7608720491549196,2.210152142783338,318,21,LOW,40.0
SP95,code_departement,department_effect_cent_l,06,0.6029342346700756,1.2376018501122603,421,38,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,07,1.0073629855872588,2.0405557913177805,674,39,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,08,0.07287268838903548,0.20536848546000908,275,22,LOW,40.0
