id,latitude,longitude,cp,adresse,ville,departement,code_departement,region,code_region,road_type,price_eur_l,updated_at,fuel,age_hours_raw,age_hours,price_age_days,freshness_flag,latitude_deg,longitude_deg,nearest_station_km,stations_within_2km,stations_within_5km,stations_within_10km,stations_within_20km,stations_within_50km,competition_bucket,isolation_bucket,isolated_market,fair_price_eur_l,spread_eur_l,spread_cent_l,anomaly_z,flag,market_freshness,actionable,market_mode,market_data_date,official_anchor_date,accessibility_class,logistics_peer_group,accessibility_source,region_effect_cent_l,code_region_model_match,code_region_model_confidence,department_effect_cent_l,code_departement_model_match,code_departement_model_confidence,road_effect_cent_l,road_type_model_match,road_type_model_confidence,competition_effect_cent_l,competition_bucket_model_match,competition_bucket_model_confidence,isolation_effect_cent_l,isolation_bucket_model_match,isolation_bucket_model_confidence,logistics_premium_cent_l,accessibility_class_model_match,accessibility_class_model_confidence,base_structural_local_premium_cent_l,structural_local_premium_cent_l,historical_model_coverage,structural_premium_confidence,logistics_confidence,logistics_status,local_fair_price_eur_l,local_residual_cent_l,persistent_station_bias_cent_l,persistent_station_bias_raw_cent_l,persistent_bias_months,persistent_bias_observations,local_model_type,local_model_train_start,local_model_train_end,local_model_months,local_peer_count,local_peer_radius_km,local_peer_median_residual_cent_l,local_peer_mad_cent_l,local_peer_scale_cent_l,local_excess_cent_l,local_anomaly_score,peer_selection_method,peer_confidence,local_flag
10500005,4839651.67,452825.6,10500,BOULEVARD NAPOLEON,Brienne-le-Château,Aube,10,Grand Est,44,ROUTE,2.329,2026-09-16 08:32:21+02:00,SP95,128.42886075916667,128.42886075916667,5.3512025316319445,CURRENT,48.3965167,4.528256,18.306706221693133,0.0,0.0,0.0,1.0,24.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.1446191103172838,14.46191103172838,0.8038451517049855,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,-0.36634883945327,True,HIGH,0.3866734249339769,True,MEDIUM,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,0.927495205321462,2.441245294976567,1.0,MEDIUM,HIGH,ESTIMATED,2.208793342632482,12.020665736751823,-0.6471117653665893,-0.8412452949765661,20.0,20.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,24,50.0,5.67594920943566,3.4227357262773594,5.074547987778812,6.344716527316163,1.250301808672681,RADIUS,MEDIUM,NORMAL
17590002,4620400.0,-151200.0,17590,Route Départementale 735,Ars-en-Ré,Charente-Maritime,17,Nouvelle-Aquitaine,75,ROUTE,2.268,2026-09-17 08:29:33+02:00,SP95,104.47552742583333,104.47552742583333,4.353146976076389,CURRENT,46.204,-1.512,11.154225126994696,0.0,0.0,0.0,3.0,21.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.08361911031728342,8.361911031728342,0.6546527959625712,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,ROAD_CONNECTED_ISLAND,ILE_RE,OVERRIDE_VILLE,-0.8525319954527302,True,HIGH,-1.2730223632697386,True,MEDIUM,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,0.0,True,INSUFFICIENT,-1.2183837388817134,-1.2183837388817134,1.0,INSUFFICIENT,INSUFFICIENT,PROVISIONAL,2.172197052293899,9.580294770610065,-2.178166354706373,-2.831616261118285,20.0,20.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,21,50.0,2.525773094420769,3.907883010307911,5.793827351082508,7.054521676189296,1.217592663487158,RADIUS,MEDIUM,NORMAL
17580002,4617771.0860263,-137215.89695779,17580,6083 route de Sainte Marie,Le Bois-Plage-en-Ré,Charente-Maritime,17,Nouvelle-Aquitaine,75,ROUTE,2.257,2026-09-18 14:22:34+02:00,SP95,74.59191631472221,74.59191631472221,3.1079965131134255,CURRENT,46.177710860263,-1.3721589695779002,2.6142952503791013,0.0,2.0,2.0,5.0,22.0,VERY_LOW,LOCAL,False,2.1843808896827164,0.07261911031728374,7.261911031728374,0.43643519730838665,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,ROAD_CONNECTED_ISLAND,ILE_RE,OVERRIDE_VILLE,-0.8525319954527302,True,HIGH,-1.2730223632697386,True,MEDIUM,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,-0.1856616160625648,True,HIGH,0.0,True,INSUFFICIENT,-2.0638620626923823,-2.0638620626923823,1.0,INSUFFICIENT,INSUFFICIENT,PROVISIONAL,2.1637422690557924,9.325773094420775,0.0100815001399174,0.0138620626923864,16.0,16.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,22,50.0,2.58971143209199,4.168955467929436,6.180893376752182,6.736061662328785,1.0898200715878266,RADIUS,MEDIUM,NORMAL
17410001,4619800.0,-135500.0,17410,Route de la Flotte,Saint-Martin-de-Ré,Charente-Maritime,17,Nouvelle-Aquitaine,75,ROUTE,2.239,2026-09-21 07:33:55+02:00,SP95,9.402749648055556,9.402749648055556,0.3917812353356482,CURRENT,46.198,-1.355,2.6142952503791013,0.0,2.0,2.0,5.0,23.0,VERY_LOW,LOCAL,False,2.1843808896827164,0.054619110317283504,5.46191103172835,0.0793518540560695,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,ROAD_CONNECTED_ISLAND,ILE_RE,OVERRIDE_VILLE,-0.8525319954527302,True,HIGH,-1.2730223632697386,True,MEDIUM,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,-0.1856616160625648,True,HIGH,0.0,True,INSUFFICIENT,-2.0638620626923823,-2.0638620626923823,1.0,INSUFFICIENT,INSUFFICIENT,PROVISIONAL,2.1637422690557924,7.525773094420751,-2.9893368748520044,-3.8861379373076055,20.0,20.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,23,50.0,2.653649769763211,4.430027925550961,6.567959402421855,4.87212332465754,0.7418016808783873,RADIUS,MEDIUM,NORMAL
70120002,4771200.0,588800.0,70120,Place du 15 Juin 1940,Combeaufontaine,Haute-Saône,70,Bourgogne-Franche-Comté,27,ROUTE,2.299,2026-09-16 00:00:00+02:00,SP95,136.96802742583333,136.96802742583333,5.707001142743056,CURRENT,47.712,5.888,16.983508519887483,0.0,0.0,0.0,1.0,24.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.11461911031728356,11.461911031728356,0.6744907594765952,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,0.7678604386724137,True,HIGH,-0.6018990798726501,True,LOW,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,1.0731319786405187,2.586882068295624,1.0,LOW,HIGH,ESTIMATED,2.2102497103656726,8.87502896343273,4.274085833715978,5.876868021359471,16.0,16.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,24,50.0,6.165288200550867,2.530244030452744,3.751339799549238,2.7097407628818626,0.722339459413265,RADIUS,MEDIUM,NORMAL
9110001,4273000.0,182100.0,09110,RN 20,Savignac-les-Ormeaux,Ariège,09,Occitanie,76,ROUTE,2.303,2026-09-16 12:04:04+02:00,SP95,124.90024964805555,124.90024964805555,5.204177068668981,CURRENT,42.73,1.821,22.24119803207528,0.0,0.0,0.0,0.0,8.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.11861911031728356,11.861911031728356,1.4389136202167259,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,0.6183082148449623,True,HIGH,0.2874091976372486,True,LOW,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,1.812888032322966,3.326638121978071,1.0,LOW,HIGH,ESTIMATED,2.2176472709024972,8.535272909750269,-0.4435677861369804,-0.5766381219780745,20.0,20.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,66,100.0,4.83614637881602,3.532715087744065,5.23760338908935,3.699126530934249,0.7062632001957306,RADIUS,LOW,NORMAL
36800001,4663900.0,142500.0,36800,rue des Remparts,Saint-Gaultier,Indre,36,Centre-Val de Loire,24,ROUTE,2.305,2026-09-15 08:36:57+02:00,SP95,152.3521940925,152.3521940925,6.348008087187501,CURRENT,46.639,1.425,21.81497226625106,0.0,0.0,0.0,0.0,18.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.12061911031728378,12.061911031728378,1.2031456790663666,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,-0.451961424793062,True,HIGH,-0.1633399475670231,True,LOW,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,0.29186924748067017,1.8056193371357754,1.0,LOW,HIGH,ESTIMATED,2.202437083054074,10.256291694592612,-0.4273994901044459,-0.5556193371357797,20.0,20.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,18,50.0,5.564764798947008,4.725150267156342,7.005507786085992,4.6915268956456035,0.669691197112605,RADIUS,MEDIUM,NORMAL
4240002,4396900.0,666800.0,04240,CD 908 LE CASTAGNERET,Annot,Alpes-de-Haute-Provence,04,Provence-Alpes-Côte d'Azur,93,ROUTE,2.32,2026-09-15 06:15:45+02:00,SP95,154.70552742583334,154.70552742583334,6.446063642743056,CURRENT,43.969,6.668,17.874144268443946,0.0,0.0,0.0,1.0,24.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.13561911031728346,13.561911031728346,1.7623790812130302,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,0.4750018477710168,True,HIGH,1.2293510147168665,True,LOW,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,2.611523482328639,4.125273571983744,1.0,LOW,HIGH,ESTIMATED,2.225633625402554,9.43663745974459,0.7512421534302369,0.9884765176713644,19.0,19.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,22,50.0,4.582393596174494,4.899999999999993,7.26473999999999,4.854243863570096,0.6681923735151021,RADIUS,MEDIUM,NORMAL
17400002,4594400.0,-50500.0,17400,Rue de la Sacristinerie,Saint-Jean-d'Angély,Charente-Maritime,17,Nouvelle-Aquitaine,75,ROUTE,2.289,2026-09-17 09:03:26+02:00,SP95,103.9108052036111,103.9108052036111,4.329616883483796,CURRENT,45.944,-0.505,19.848179784589473,0.0,0.0,0.0,1.0,23.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.10461911031728377,10.461911031728377,1.0712500297569427,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,-0.8525319954527302,True,HIGH,-1.2730223632697386,True,MEDIUM,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,-1.2183837388817134,0.2953663507733919,1.0,MEDIUM,HIGH,ESTIMATED,2.1873345531904502,10.166544680954992,-1.024320200860218,-1.3316162611182834,20.0,20.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,22,50.0,8.130294770610092,2.1153106769584706,3.1361596096586286,2.0362499103448997,0.649281338894147,RADIUS,MEDIUM,NORMAL
17170003,4622656.32575,-87152.9785626,17170,AV DE LA JUILLERIE,Saint-Sauveur-d'Aunis,Charente-Maritime,17,Nouvelle-Aquitaine,75,ROUTE,2.263,2026-09-16 09:37:47+02:00,SP95,127.3383052036111,127.3383052036111,5.305762716817129,CURRENT,46.2265632575,-0.8715297856259999,15.772398706723926,0.0,0.0,0.0,1.0,31.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.07861911031728352,7.8619110317283525,0.5554629783924865,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,-0.8525319954527302,True,HIGH,-1.2730223632697386,True,MEDIUM,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,-1.2183837388817134,0.2953663507733919,1.0,MEDIUM,HIGH,ESTIMATED,2.1873345531904502,7.5665446809549675,-1.644837836550883,-2.138289187516148,20.0,20.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,31,50.0,4.899128093573912,3.3021512502085404,4.895769443559182,2.667416587381055,0.544841136440826,RADIUS,MEDIUM,NORMAL
